ID	lat	long	sex	analyis_label	label	source	udg	data_type	time	location	country	coverage	n_snps
RISE247	47.327	18.962	M	Europe_LNBA	Vatya	AllentoftNature2015	minus	Shotgun	3372	Százhalombatta-Földvár	Hungary	0.273	237322
RISE487	45.26	10.379	M	Europe_MNChL	Remedello_BA	AllentoftNature2015	minus	Shotgun	4557	Remedello di Sotto	Italy	0.223	239530
RISE483	47.341	18.896	F	Europe_LNBA	Vatya	AllentoftNature2015	minus	Shotgun	2000	Erd 4	Hungary	0.121	134337
RISE71	56.676	10.034	F	Europe_LNBA	Nordic_LN	AllentoftNature2015	minus	Shotgun	3701	Falshöj	Denmark	0.26	203604
RISE47	56.97	9.552	M	Europe_LNBA	Nordic_BA	AllentoftNature2015	minus	Shotgun	3153	Sebber skole	Denmark	0.105	103513
RISE435	48.932	12.259	F	Europe_LNBA	Corded_Ware_Germany	AllentoftNature2015	minus	Shotgun	4094	Tiefbrunn	Germany	0.043	50680
RISE486	45.26	10.379	M	Europe_MNChL	Remedello_BA	AllentoftNature2015	minus	Shotgun	3595	Remedello di Sotto	Italy	0.289	203575
RISE61	55.703	11.855	M	Europe_LNBA	Nordic_MN_B	AllentoftNature2015	minus	Shotgun	4071	Kyndelöse	Denmark	0.318	293152
RISE254	47.327	18.962	M	Europe_LNBA	Vatya	AllentoftNature2015	minus	Shotgun	3631	Százhalombatta-Földvár	Hungary	0.038	42943
RISE373	46.22	20.199	F	Europe_LNBA	Maros	AllentoftNature2015	minus	Shotgun	3476	Szöreg - C (Sziv Utca)	Hungary	0.282	259708
RISE94	56.025	14.233	M	Europe_LNBA	BattleAxe_Sweden	AllentoftNature2015	minus	Shotgun	4025	Viby	Sweden	0.927	619914
RISE179	55.397	13.6	M	Europe_LNBA	Nordic_LN	AllentoftNature2015	minus	Shotgun	3556	Abekås I	Sweden	0.045	50762
RISE154	50.948	16.943	F	Europe_LNBA	Unetice_EBA	AllentoftNature2015	minus	Shotgun	3522	Szczepankowice	Poland	0.178	171391
RISE98	55.381	13.445	M	Europe_LNBA	Nordic_LN	AllentoftNature2015	minus	Shotgun	3736	L Beddinge 56	Sweden	6.125	1125643
RISE97	55.557	13.059	F	Europe_LNBA	Nordic_LN	AllentoftNature2015	minus	Shotgun	3590	Fredriksberg	Sweden	0.746	580367
RISE175	55.397	13.6	M	Europe_LNBA	Nordic_BA	AllentoftNature2015	minus	Shotgun	3025	Abekås I	Sweden	0.104	112552
RISE484	47.341	18.896	F	Europe_LNBA	Vatya	AllentoftNature2015	minus	Shotgun	2000	Erd 4	Hungary	0.152	168871
RISE210	55.997	14.104	M	Europe_LNBA	Nordic_BA	AllentoftNature2015	minus	Shotgun	3105	Ängamöllan	Sweden	0.046	51095
RISE276	55.914	11.565	M	Europe_LNBA	Nordic_LBA	AllentoftNature2015	minus	Shotgun	2525	Trundholm mose II	Denmark	0.083	92841
RISE374	46.22	20.199	M	Europe_LNBA	Maros	AllentoftNature2015	minus	Shotgun	3402	Szöreg - C (Sziv Utca)	Hungary	0.149	146423
RISE479	47.341	18.896	M	Europe_LNBA	Vatya	AllentoftNature2015	minus	Shotgun	2000	Erd 4	Hungary	1.4	884093
RISE349	46.356	20.985	F	Europe_LNBA	Hungary_MBA	AllentoftNature2015	minus	Shotgun	3588	Battonya Vörös Oktober	Hungary	0.082	96499
RISE431	52.143	16.538	M	Europe_LNBA	Corded_Ware_Proto_Unetice_Poland	AllentoftNature2015	minus	Shotgun	3762	Leki Male	Poland	0.111	124341
RISE434	48.932	12.259	M	Europe_LNBA	Corded_Ware_Germany	AllentoftNature2015	minus	Shotgun	4161	Tiefbrunn	Germany	0.1	111108
RISE109	50.98	17.068	F	Europe_LNBA	Unetice_EBA	AllentoftNature2015	minus	Shotgun	3544	Wojkowice	Poland	0.215	211732
RISE150	50.918	16.957	F	Europe_LNBA	Unetice_EBA	AllentoftNature2015	minus	Shotgun	3469	Przeclawice	Poland	2.653	654921
