id	pop	lat	long
HGDP00511	French	46	2
HGDP00512	French	46	2
HGDP00513	French	46	2
HGDP00514	French	46	2
HGDP00515	French	46	2
HGDP00516	French	46	2
HGDP00517	French	46	2
HGDP00518	French	46	2
HGDP00519	French	46	2
HGDP00522	French	46	2
HGDP00523	French	46	2
HGDP00524	French	46	2
HGDP00525	French	46	2
HGDP00526	French	46	2
HGDP00527	French	46	2
HGDP00528	French	46	2
HGDP00529	French	46	2
HGDP00531	French	46	2
HGDP00533	French	46	2
HGDP00534	French	46	2
HGDP00535	French	46	2
HGDP00536	French	46	2
HGDP00537	French	46	2
HGDP00538	French	46	2
HGDP00539	French	46	2
HGDP01147	Italian_North	46	10
HGDP01151	Italian_North	46	10
HGDP01152	Italian_North	46	10
HGDP01153	Italian_North	46	10
HGDP01155	Italian_North	46	10
HGDP01156	Italian_North	46	10
HGDP01157	Italian_North	46	10
HGDP01161	Italian_North	46	10
HGDP01162	Italian_North	46	10
HGDP01163	Italian_North	46	10
HGDP01164	Italian_North	46	10
HGDP01166	Italian_North	46	10
HGDP01167	Italian_North	46	10
HGDP01168	Italian_North	46	10
HGDP01169	Italian_North	46	10
HGDP01171	Italian_North	46	10
HGDP01172	Italian_North	46	10
HGDP01173	Italian_North	46	10
HGDP01174	Italian_North	46	10
HGDP01177	Italian_North	46	10
Est393	Estonian	58.5	24.9
Est375	Estonian	58.5	24.9
Est380	Estonian	58.5	24.9
Est391	Estonian	58.5	24.9
Est377	Estonian	58.5	24.9
Est372	Estonian	58.5	24.9
Est358	Estonian	58.5	24.9
Est400	Estonian	58.5	24.9
Est397	Estonian	58.5	24.9
Est394	Estonian	58.5	24.9
NA15725	Czech	50.1	14.4
NA15733	Czech	50.1	14.4
NA15726	Czech	50.1	14.4
NA15727	Czech	50.1	14.4
NA15728	Czech	50.1	14.4
NA15729	Czech	50.1	14.4
NA15730	Czech	50.1	14.4
NA15731	Czech	50.1	14.4
NA15724	Czech	50.1	14.4
NA15732	Czech	50.1	14.4
HG00103	Scottish	56	-3.9
HG00104	Scottish	56	-3.9
HG00105	Scottish	56	-3.9
HG00106	Scottish	56	-3.9
HG00128	English	50.3	-4.9
HG00129	English	50.3	-4.9
HG00130	English	50.3	-4.9
HG00131	English	50.3	-4.9
HG00233	English	50.3	-4.9
HG00234	English	50.3	-4.9
HG00232	English	50.3	-4.9
HG01500	Spanish	37.4	-6
HG01501	Spanish	37.4	-6
HG01503	Spanish	37.4	-6
HG01504	Spanish	37.4	-6
HG01506	Spanish	37.4	-6
HG01507	Spanish	37.4	-6
HG01509	Spanish	37.4	-6
HG01510	Spanish	37.4	-6
HG01512	Spanish	37.4	-6
HG01513	Spanish	37.4	-6
HG01515	Spanish_North	42.8	-2.7
HG01516	Spanish_North	42.8	-2.7
HG01518	Spanish_North	42.8	-2.7
