iid	lat	long	time
RISE247	47.327	18.962	3372
RISE487	45.26	10.379	4557
RISE483	47.341	18.896	2000
RISE71	56.676	10.034	3701
RISE47	56.97	9.552	3153
RISE435	48.932	12.259	4094
RISE486	45.26	10.379	3595
RISE61	55.703	11.855	4071
RISE254	47.327	18.962	3631
RISE373	46.22	20.199	3476
RISE94	56.025	14.233	4025
RISE179	55.397	13.6	3556
RISE154	50.948	16.943	3522
RISE98	55.381	13.445	3736
RISE97	55.557	13.059	3590
RISE175	55.397	13.6	3025
RISE484	47.341	18.896	2000
RISE210	55.997	14.104	3105
RISE276	55.914	11.565	2525
RISE374	46.22	20.199	3402
RISE479	47.341	18.896	2000
RISE349	46.356	20.985	3588
RISE431	52.143	16.538	3762
RISE434	48.932	12.259	4161
RISE109	50.98	17.068	3544
RISE150	50.918	16.957	3469
RISE480	47.341	18.896	1700
RISE371	46.22	20.199	3653
RISE436	48.932	12.259	4124
RISE446	50.009	10.18	4015
RISE489	45.26	10.379	4185
ATP16	42.3525	-3.518333333	4400
ATP2	42.3525	-3.518333333	4210
ATP9	42.3525	-3.518333333	3390
Matojo	42.3525	-3.518333333	4300
Stuttgart	48.78	9.18	6246
Loschbour	49.81	6.4	7205
I0172	51.42	11.68	3360
I0174	46.2	18.7	6695
I0118	51.45	11.63	3892
I0059	51.82	10.91	3796
I0104	51.42	11.68	3927
I0103	51.42	11.68	4000
I0049	51.42	11.68	3867
I0117	51.42	11.68	3743
I0409	42.5	0.5	6280
I0412	42.5	0.5	6249
I0054	51.66	11.53	6180
I0106	51.42	11.68	3867
I0115	51.42	11.68	3540
I0116	51.42	11.68	3650
I0803	51.167663	11.847527	3650
I0804	51.167663	11.847527	3671
I0047	51.89	11.04	3612
I0048	51.89	11.04	6153
I0057	51.89	11.04	6173
I0099	51.89	11.04	2889
I0046	51.89	11.04	6137
I0550	51.273	11.6559	3993
I0795	51.273	11.6559	6174
I0559	51.79	11.14	4815
I0164	51.79	11.14	3599
I0176	46.4	18.74	6110
I0410	42.5	0.5	6217
I0413	42.5	0.5	6234
I1498	47.52	21.589	6207
I1497	47.167	19.833	4421
I0805	51.79166667	11.14722222	3839
I0806	51.79	11.14	3824
I0406	41.2522	-2.32622	3900
I0112	51.79	11.14	3820
I0807	51.42	11.68	5061
I1281	42.33333333	-3.5	4110
I1277	42.33333333	-3.5	3950
I1282	42.33333333	-3.5	3950
I1284	42.33333333	-3.5	3950
I0111	51.45	11.54	3881
I1276	42.33333333	-3.5	3950
I0797	51.28305556	11.65	5500
I0108	51.45	11.54	3953
I1500	47.167	20.833	6164
I1280	42.33333333	-3.5	3950
I1539	51.42	11.68	3967
I1532	51.42	11.68	2500
I0113	51.79	11.14	3773
I1505	47.88	21.192	6153
I1538	51.42	11.68	2050
I1540	51.42	11.68	2050
I1314	42.33333333	-3.5	3950
I1542	51.42	11.68	2050
I1508	47.318741	21.527443	6726
